"","CBSA.Code","YEAR","AGE_CATEGORY","fatality_count","rate"
"445",10740,2012,4,3,0.0717617509867241
"446",10740,2012,5,2,0.143864192202561
"447",10740,2012,6,90,1.61385765775459
"448",10740,2012,7,1,0.071921749136939
"449",10740,2013,2,1,0.0519723507094226
"450",10740,2013,5,7,0.181695478378238
"451",10740,2013,6,74,0.959419162453001
"452",10740,2014,1,1,0.0411302595319376
"453",10740,2014,3,1,0.0411285679032656
"454",10740,2014,4,2,0.0410770399884984
"455",10740,2014,5,5,0.102722136620442
"456",10740,2014,6,89,0.913532599770077
"457",10740,2015,3,2,0.0337969143417206
"458",10740,2015,4,2,0.0676475562320311
"459",10740,2015,5,1,0.0338226341067442
"460",10740,2015,6,76,0.641902734843494
"461",10740,2016,1,2,0.0286106660563058
"462",10740,2016,3,2,0.0572688486097987
"463",10740,2016,4,7,0.0500500500500501
"464",10740,2016,5,9,0.128738788997125
"465",10740,2016,6,115,0.82221554916849
"466",10740,2017,2,2,0.0497092011731372
"467",10740,2017,3,2,0.0497079657015037
"468",10740,2017,5,3,0.0745600954369222
"469",10740,2017,6,114,0.707731657954531
"470",10740,2018,3,4,0.0293690068870321
"471",10740,2018,4,1,0.0220414820692543
"472",10740,2018,5,3,0.0661229887590919
"473",10740,2018,6,127,0.699231396040258
"474",10740,2019,2,1,0.0198365468539237
"475",10740,2019,4,6,0.0594836816433358
"476",10740,2019,5,2,0.0198275007435313
"477",10740,2019,6,132,0.654087053040514
"478",10740,2020,4,4,0.0719579765416997
"479",10740,2020,5,11,0.0659270846443833
"480",10740,2020,6,122,0.548339251202301
"481",10740,2021,1,2,0.016427779374923
"482",10740,2021,2,3,0.0493015612161052
"483",10740,2021,3,1,0.0164335836715913
"484",10740,2021,4,3,0.0246408594731784
"485",10740,2021,5,3,0.024636812324976
"486",10740,2021,6,169,0.693811529587572
"487",10740,2022,4,3,0.0453905859924652
"488",10740,2022,5,13,0.0655311298070864
