cbsa_code,cbsa_name,fatality_count,pop_under18,rate
44940,"Sumter, SC",6,74194,8.086907297086018
45060,"Syracuse, NY",17,186661,9.10741933237259
45220,"Tallahassee, FL",4,109546,3.651434100743067
45300,"Tampa-St. Petersburg-Clearwater, FL",92,1828306,5.031980423408335
45460,"Terre Haute, IN",4,42815,9.342520144809063
45500,"Texarkana, TX-AR",6,66915,8.966599417171038
45780,"Toledo, OH",14,376017,3.723235917525005
45820,"Topeka, KS",9,164730,5.463485703879075
45900,"Traverse City, MI",1,19072,5.243288590604027
45940,"Trenton-Princeton, NJ",6,321985,1.8634408435175551
46060,"Tucson, AZ",26,1069139,2.4318633966210195
46140,"Tulsa, OK",34,578428,5.878000373425906
46220,"Tuscaloosa, AL",7,226967,3.084148796961673
46300,"Twin Falls, ID",2,24643,8.115894980318954
46340,"Tyler, TX",22,284986,7.719677457840034
46520,"Urban Honolulu, HI",8,831827,0.9617384384012541
46540,"Utica-Rome, NY",3,146198,2.052011655426203
46660,"Valdosta, GA",6,114890,5.222386630690226
46700,"Vallejo, CA",13,394401,3.2961376872776693
47020,"Victoria, TX",8,93275,8.576789064593942
47220,"Vineland, NJ",4,73103,5.471731666279085
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",23,420151,5.474222362912382
47300,"Visalia, CA",20,714451,2.799352229894003
47380,"Waco, TX",9,252142,3.5694172331464014
47580,"Warner Robins, GA",7,203561,3.438772652914851
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",88,1841986,4.777452163045756
47940,"Waterloo-Cedar Falls, IA",7,142745,4.903849521874672
48060,"Watertown-Fort Drum, NY",4,81265,4.922168215098751
48140,"Wausau, WI",3,92749,3.234536221414786
48260,"Weirton-Steubenville, WV-OH",1,12423,8.049585446349512
48300,"Wenatchee-East Wenatchee, WA",1,18053,5.539245554755443
48540,"Wheeling, WV-OH",2,12463,16.047500601781273
48620,"Wichita, KS",20,657898,3.0399849216747885
48660,"Wichita Falls, TX",4,88644,4.51243174946979
